State,District,Block
Andhra Pradesh,East Godavari,Maredumilli
Andhra Pradesh,East Godavari,Mummidivaram
Andhra Pradesh,East Godavari,P Gannavaram
Andhra Pradesh,East Godavari,Pamarru
Andhra Pradesh,East Godavari,Pedapudi
Andhra Pradesh,East Godavari,Peddapuram
Andhra Pradesh,East Godavari,Pithapuram
Andhra Pradesh,East Godavari,Prathipadu
Andhra Pradesh,East Godavari,Rajahmundry(Rural)
Andhra Pradesh,East Godavari,Rajanagaram
Andhra Pradesh,East Godavari,Rajavommangi
Andhra Pradesh,East Godavari,Ramachandrapuram
Andhra Pradesh,East Godavari,Rampachodavaram
Andhra Pradesh,East Godavari,Rangampeta
Andhra Pradesh,East Godavari,Ravulapalem
Andhra Pradesh,East Godavari,Rayavaram
Andhra Pradesh,East Godavari,Razole
Andhra Pradesh,East Godavari,Sakhinetipalle
Andhra Pradesh,East Godavari,Samalkota
Andhra Pradesh,East Godavari,Sankhavaram
Andhra Pradesh,East Godavari,Seethanagaram
Andhra Pradesh,East Godavari,Tallarevu
Andhra Pradesh,East Godavari,Thondangi
Andhra Pradesh,East Godavari,Tuni
Andhra Pradesh,East Godavari,Uppalaguptam
Andhra Pradesh,East Godavari,Y Ramavaram
Andhra Pradesh,East Godavari,Yeleswaram
Andhra Pradesh,East Godavari,Chintur
Andhra Pradesh,East Godavari,Kunavaram
Andhra Pradesh,East Godavari,Vararamachandrapuram
Andhra Pradesh,East Godavari,Bhadrachalam
Andhra Pradesh,Eluru,All Blocks
Andhra Pradesh,Guntur,Achampeta
Andhra Pradesh,Guntur,Amaravathi
Andhra Pradesh,Guntur,Amruthalur
Andhra Pradesh,Guntur,Bapatla
Andhra Pradesh,Guntur,Bellamkonda
Andhra Pradesh,Guntur,Bhattiprolu
Andhra Pradesh,Guntur,Bollapalle
Andhra Pradesh,Guntur,Chebrole
Andhra Pradesh,Guntur,Cherukupalle
Andhra Pradesh,Guntur,Chilakaluripet
Andhra Pradesh,Guntur,Dachepalle
Andhra Pradesh,Guntur,Duggirala
Andhra Pradesh,Guntur,Durgi
Andhra Pradesh,Guntur,Edlapadu
Andhra Pradesh,Guntur,Guntur
Andhra Pradesh,Guntur,Gurazala
Andhra Pradesh,Guntur,Ipuru
Andhra Pradesh,Guntur,Kakumanu
Andhra Pradesh,Guntur,Karempudi
Andhra Pradesh,Guntur,Karlapalem
Andhra Pradesh,Guntur,Kollipara
Andhra Pradesh,Guntur,Kollur
Andhra Pradesh,Guntur,Krosuru
Andhra Pradesh,Guntur,Machavaram
Andhra Pradesh,Guntur,Macherla
Andhra Pradesh,Guntur,Mangalagiri
Andhra Pradesh,Guntur,Medikonduru
Andhra Pradesh,Guntur,Muppalla
Andhra Pradesh,Guntur,Nadendla
Andhra Pradesh,Guntur,Nagaram
Andhra Pradesh,Guntur,Nakarikallu
Andhra Pradesh,Guntur,Narasaraopeta
Andhra Pradesh,Guntur,Nizampatnam
Andhra Pradesh,Guntur,Nuzendla
Andhra Pradesh,Guntur,Pedakakani
Andhra Pradesh,Guntur,Pedakurapadu
Andhra Pradesh,Guntur,Pedanandipadu
Andhra Pradesh,Guntur,Phirangipuram
Andhra Pradesh,Guntur,Piduguralla
Andhra Pradesh,Guntur,Pittalavanipalem
Andhra Pradesh,Guntur,Ponnur
Andhra Pradesh,Guntur,Prathipadu
Andhra Pradesh,Guntur,Rajupalem
Andhra Pradesh,Guntur,Rentachintala
Andhra Pradesh,Guntur,Repalle
Andhra Pradesh,Guntur,Rompicherla
Andhra Pradesh,Guntur,Sattenapalle
Andhra Pradesh,Guntur,Savalyapuram
Andhra Pradesh,Guntur,Tadikonda
Andhra Pradesh,Guntur,Tenali
Andhra Pradesh,Guntur,Thadepalle
Andhra Pradesh,Guntur,Thullur
Andhra Pradesh,Guntur,Tsundur
Andhra Pradesh,Guntur,Vatticherukuru
Andhra Pradesh,Guntur,Veldurthi
Andhra Pradesh,Guntur,Vemuru
Andhra Pradesh,Guntur,Vinukonda
Andhra Pradesh,Kakinada,All Blocks
Andhra Pradesh,Krishna,A Konduru
Andhra Pradesh,Krishna,Agiripalle
Andhra Pradesh,Krishna,Avanigadda
Andhra Pradesh,Krishna,Bantumilli
Andhra Pradesh,Krishna,Bapulapadu
Andhra Pradesh,Krishna,Challapalli
Andhra Pradesh,Krishna,Chandarlapadu
Andhra Pradesh,Krishna,Chatrai
Andhra Pradesh,Krishna,G Konduru
Andhra Pradesh,Krishna,Gampalagudem
Andhra Pradesh,Krishna,Gannavaram
Andhra Pradesh,Krishna,Ghantasala
Andhra Pradesh,Krishna,Gudivada
Andhra Pradesh,Krishna,Gudlavalleru
Andhra Pradesh,Krishna,Gudur
Andhra Pradesh,Krishna,Ibrahimpatnam
Andhra Pradesh,Krishna,Jaggayyapeta
Andhra Pradesh,Krishna,Kaikalur
Andhra Pradesh,Krishna,Kalidindi
Andhra Pradesh,Krishna,Kanchika Cherla
Andhra Pradesh,Krishna,Kankipadu
Andhra Pradesh,Krishna,Koduru
Andhra Pradesh,Krishna,Kruthivennu
Andhra Pradesh,Krishna,Machilipatnam
Andhra Pradesh,Krishna,Mandavalli
Andhra Pradesh,Krishna,Mopidevi
Andhra Pradesh,Krishna,Movva
Andhra Pradesh,Krishna,Mudinepalli
Andhra Pradesh,Krishna,Musunuru
Andhra Pradesh,Krishna,Mylavaram
Andhra Pradesh,Krishna,Nagayalanka
Andhra Pradesh,Krishna,Nandigama
Andhra Pradesh,Krishna,Nandivada
Andhra Pradesh,Krishna,Nuzvid
Andhra Pradesh,Krishna,Pamarru
Andhra Pradesh,Krishna,Pamidimukkala
Andhra Pradesh,Krishna,Pedana
Andhra Pradesh,Krishna,Pedaparupudi
Andhra Pradesh,Krishna,Penamaluru
Andhra Pradesh,Krishna,Penuganchiprolu
Andhra Pradesh,Krishna,Reddigudem
Andhra Pradesh,Krishna,Thotlavalluru
Andhra Pradesh,Krishna,Tiruvuru
Andhra Pradesh,Krishna,Unguturu
Andhra Pradesh,Krishna,Vatsavai
Andhra Pradesh,Krishna,Veerullapadu
Andhra Pradesh,Krishna,Vijayawada Rural
Andhra Pradesh,Krishna,Vijayawada Urban
Andhra Pradesh,Krishna,Vissannapet
Andhra Pradesh,Krishna,Vuyyuru
Andhra Pradesh,Kurnool,Adoni
Andhra Pradesh,Kurnool,Allagadda
Andhra Pradesh,Kurnool,Alur
Andhra Pradesh,Kurnool,Aspari
Andhra Pradesh,Kurnool,Atmakur
Andhra Pradesh,Kurnool,Banaganapalle
Andhra Pradesh,Kurnool,Bandi Atmakur
Andhra Pradesh,Kurnool,Bethamcherla
Andhra Pradesh,Kurnool,C.Belagal
Andhra Pradesh,Kurnool,Chagalamarri
Andhra Pradesh,Kurnool,Chippagiri
Andhra Pradesh,Kurnool,Devanakonda
Andhra Pradesh,Kurnool,Dhone
Andhra Pradesh,Kurnool,Dornipadu
Andhra Pradesh,Kurnool,Gadivemula
Andhra Pradesh,Kurnool,Gonegandla
Andhra Pradesh,Kurnool,Gospadu
Andhra Pradesh,Kurnool,Gudur
Andhra Pradesh,Kurnool,Halaharvi
Andhra Pradesh,Kurnool,Holagunda
Andhra Pradesh,Kurnool,Jupadu Bungalow
Andhra Pradesh,Kurnool,Kallur
Andhra Pradesh,Kurnool,Kodumur
Andhra Pradesh,Kurnool,Koilkuntla
Andhra Pradesh,Kurnool,Kolimigundla
Andhra Pradesh,Kurnool,Kosigi
Andhra Pradesh,Kurnool,Kothapalle
Andhra Pradesh,Kurnool,Kowthalam
Andhra Pradesh,Kurnool,Krishnagiri
Andhra Pradesh,Kurnool,Kurnool
Andhra Pradesh,Kurnool,Maddikera East
Andhra Pradesh,Kurnool,Mahanandi
Andhra Pradesh,Kurnool,Mantralayam
Andhra Pradesh,Kurnool,Midthur
Andhra Pradesh,Kurnool,Nandavaram
Andhra Pradesh,Kurnool,Nandi Kotkur
Andhra Pradesh,Kurnool,Nandyal
Andhra Pradesh,Kurnool,Orvakal
Andhra Pradesh,Kurnool,Owk
Andhra Pradesh,Kurnool,Pagidyala
Andhra Pradesh,Kurnool,Pamulapadu
Andhra Pradesh,Kurnool,Panyam
Andhra Pradesh,Kurnool,Pattikonda
Andhra Pradesh,Kurnool,Peapally
Andhra Pradesh,Kurnool,Pedda Kadubur
Andhra Pradesh,Kurnool,Rudravaram
Andhra Pradesh,Kurnool,Sanjamala
Andhra Pradesh,Kurnool,Sirvel
Andhra Pradesh,Kurnool,Srisailam
Andhra Pradesh,Kurnool,Tuggali
Andhra Pradesh,Kurnool,Uyyalawada
Andhra Pradesh,Kurnool,Veldurthi
Andhra Pradesh,Kurnool,Velgodu
Andhra Pradesh,Kurnool,Yemmiganur
Andhra Pradesh,Nandyal,All Blocks
Andhra Pradesh,Nellore,Allur
Andhra Pradesh,Nellore,Ananthasagaram
Andhra Pradesh,Nellore,Anumasamudrampeta
Andhra Pradesh,Nellore,Atmakur
Andhra Pradesh,Nellore,Balayapalle
Andhra Pradesh,Nellore,Bogole
Andhra Pradesh,Nellore,Butchireddipalem
Andhra Pradesh,Nellore,Chejerla
Andhra Pradesh,Nellore,Chillakur
Andhra Pradesh,Nellore,Chittamur
Andhra Pradesh,Nellore,Dagadarthi
Andhra Pradesh,Nellore,Dakkili
Andhra Pradesh,Nellore,Doravarisatram
Andhra Pradesh,Nellore,Duttalur
Andhra Pradesh,Nellore,Gudur
Andhra Pradesh,Nellore,Indukurpet
Andhra Pradesh,Nellore,Jaladanki
Andhra Pradesh,Nellore,Kaligiri
Andhra Pradesh,Nellore,Kaluvoya
Andhra Pradesh,Nellore,Kavali
Andhra Pradesh,Nellore,Kodavalur
Andhra Pradesh,Nellore,Kondapuram
Andhra Pradesh,Nellore,Kota
Andhra Pradesh,Nellore,Kovur
Andhra Pradesh,Nellore,Manubolu
Andhra Pradesh,Nellore,Marripadu
Andhra Pradesh,Nellore,Muthukur
Andhra Pradesh,Nellore,Naidupeta
Andhra Pradesh,Nellore,Nellore
Andhra Pradesh,Nellore,Ojili
Andhra Pradesh,Nellore,Pellakur
Andhra Pradesh,Nellore,Podlakur
Andhra Pradesh,Nellore,Rapur
Andhra Pradesh,Nellore,Sangam
Andhra Pradesh,Nellore,Seetharamapuram
Andhra Pradesh,Nellore,Sullurpeta
Andhra Pradesh,Nellore,Sydapuram
Andhra Pradesh,Nellore,Tada
Andhra Pradesh,Nellore,Thotapalligudur
Andhra Pradesh,Nellore,Udayagiri
Andhra Pradesh,Nellore,Vakadu
Andhra Pradesh,Nellore,Varikuntapadu
Andhra Pradesh,Nellore,Venkatachalam
Andhra Pradesh,Nellore,Venkatagiri
Andhra Pradesh,Nellore,Vidavalur
Andhra Pradesh,Nellore,Vinjamur
Andhra Pradesh,Ntr,All Blocks
Andhra Pradesh,Palnadu,All Blocks
Andhra Pradesh,Parvathipuram Manyam,All Blocks
Andhra Pradesh,Prakasam,Addanki
Andhra Pradesh,Prakasam,Ardhaveedu
Andhra Pradesh,Prakasam,Ballikuruva
Andhra Pradesh,Prakasam,Bestavaripeta
Andhra Pradesh,Prakasam,Chadrasekarapuram
Andhra Pradesh,Prakasam,Chimakurthi
Andhra Pradesh,Prakasam,Chinaganjam
Andhra Pradesh,Prakasam,Chirala
Andhra Pradesh,Prakasam,Cumbum
Andhra Pradesh,Prakasam,Darsi
Andhra Pradesh,Prakasam,Donakonda
Andhra Pradesh,Prakasam,Dornala
Andhra Pradesh,Prakasam,Giddaluru
Andhra Pradesh,Prakasam,Gudluru
Andhra Pradesh,Prakasam,Hanumanthunipadu
Andhra Pradesh,Prakasam,Inkollu
Andhra Pradesh,Prakasam,Janakavarampanguluru
Andhra Pradesh,Prakasam,Kandukur
Andhra Pradesh,Prakasam,Kanigiri
Andhra Pradesh,Prakasam,Karamchedu
Andhra Pradesh,Prakasam,Komarolu
Andhra Pradesh,Prakasam,Konakanamitla
Andhra Pradesh,Prakasam,Kondapi
Andhra Pradesh,Prakasam,Korisapadu
Andhra Pradesh,Prakasam,Kothapatnam
Andhra Pradesh,Prakasam,Kurichedu
Andhra Pradesh,Prakasam,Lingasamudram
Andhra Pradesh,Prakasam,Maddipadu
Andhra Pradesh,Prakasam,Markapur
Andhra Pradesh,Prakasam,Marripudi
Andhra Pradesh,Prakasam,Martur
Andhra Pradesh,Prakasam,Mundlamuru
Andhra Pradesh,Prakasam,Naguluppalapadu
Andhra Pradesh,Prakasam,Ongole
Andhra Pradesh,Prakasam,Pamur
Andhra Pradesh,Prakasam,Parchur
Andhra Pradesh,Prakasam,Pedaaraveedu
Andhra Pradesh,Prakasam,Pedacherlopalle
Andhra Pradesh,Prakasam,Podili
Andhra Pradesh,Prakasam,Ponnaluru
Andhra Pradesh,Prakasam,Pullalacheruvu
Andhra Pradesh,Prakasam,Racherla
Andhra Pradesh,Prakasam,Santhamaguluru
Andhra Pradesh,Prakasam,Santhanuthlapadu
Andhra Pradesh,Prakasam,Singarayakonda
Andhra Pradesh,Prakasam,Tangutur
Andhra Pradesh,Prakasam,Tarlapadu
Andhra Pradesh,Prakasam,Thallur
Andhra Pradesh,Prakasam,Tripuranthakam
Andhra Pradesh,Prakasam,Ulavapadu
Andhra Pradesh,Prakasam,Veligandla
Andhra Pradesh,Prakasam,Vetapalem
Andhra Pradesh,Prakasam,Voletivaripalem
Andhra Pradesh,Prakasam,Yeddanapudi
Andhra Pradesh,Prakasam,Yerragondapalem
Andhra Pradesh,Prakasam,Zarugumilli
Andhra Pradesh,Sri Sathya Sai,All Blocks
Andhra Pradesh,Srikakulam,Amadalavalasa
Andhra Pradesh,Srikakulam,Bhamini
Andhra Pradesh,Srikakulam,Burja
Andhra Pradesh,Srikakulam,Etcherla
Andhra Pradesh,Srikakulam,Ganguvari Singadam
Andhra Pradesh,Srikakulam,Gara
Andhra Pradesh,Srikakulam,Hiramandalam
Andhra Pradesh,Srikakulam,Ichchapuram
Andhra Pradesh,Srikakulam,Jalumuru
Andhra Pradesh,Srikakulam,Kanchili
Andhra Pradesh,Srikakulam,Kaviti
Andhra Pradesh,Srikakulam,Kotabommili
Andhra Pradesh,Srikakulam,Kothuru
Andhra Pradesh,Srikakulam,L N Peta
Andhra Pradesh,Srikakulam,Laveru
Andhra Pradesh,Srikakulam,Mandasa
Andhra Pradesh,Srikakulam,Meilaputti
Andhra Pradesh,Srikakulam,Nandigam
Andhra Pradesh,Srikakulam,Narasannapeta
Andhra Pradesh,Srikakulam,Palakonda
Andhra Pradesh,Srikakulam,Palasa
Andhra Pradesh,Srikakulam,Pathapatnam
Andhra Pradesh,Srikakulam,Polaki
Andhra Pradesh,Srikakulam,Ponduru
Andhra Pradesh,Srikakulam,Rajam
Andhra Pradesh,Srikakulam,Ranastalam
Andhra Pradesh,Srikakulam,Regidiamadalavalasa
Andhra Pradesh,Srikakulam,Santhabommali
Andhra Pradesh,Srikakulam,Santhakaviti
Andhra Pradesh,Srikakulam,Saravakota
Andhra Pradesh,Srikakulam,Sarubujjili
Andhra Pradesh,Srikakulam,Seethampeta
Andhra Pradesh,Srikakulam,Sompeta
Andhra Pradesh,Srikakulam,Srikakulam
Andhra Pradesh,Srikakulam,Tekkali
Andhra Pradesh,Srikakulam,Vajrapukothuru
Andhra Pradesh,Srikakulam,Vangara
Andhra Pradesh,Srikakulam,Veeraghattam
Andhra Pradesh,Tirupati,All Blocks
Andhra Pradesh,Visakhapatnam,Anakapalli
Andhra Pradesh,Visakhapatnam,Anandapuram
Andhra Pradesh,Visakhapatnam,Ananthagiri
Andhra Pradesh,Visakhapatnam,Araku Valley
Andhra Pradesh,Visakhapatnam,Atchutapuram
Andhra Pradesh,Visakhapatnam,Bheemunipatnam
Andhra Pradesh,Visakhapatnam,Butchayyapeta
Andhra Pradesh,Visakhapatnam,Cheedikada
Andhra Pradesh,Visakhapatnam,Chinagadila
Andhra Pradesh,Visakhapatnam,Chintapalle
Andhra Pradesh,Visakhapatnam,Chodavaram
Andhra Pradesh,Visakhapatnam,Devarapalle
Andhra Pradesh,Visakhapatnam,Dumbriguda
Andhra Pradesh,Visakhapatnam,Gajuwaka
Andhra Pradesh,Visakhapatnam,Gangaraju Madugula
Andhra Pradesh,Visakhapatnam,Golugonda
Andhra Pradesh,Visakhapatnam,Gudem Kothaveedhi
Andhra Pradesh,Visakhapatnam,Hukumpeta
Andhra Pradesh,Visakhapatnam,K Kotapadu
Andhra Pradesh,Visakhapatnam,Kasimkota
Andhra Pradesh,Visakhapatnam,Kotauratla
Andhra Pradesh,Visakhapatnam,Koyyuru
Andhra Pradesh,Visakhapatnam,Madugula
Andhra Pradesh,Visakhapatnam,Makavarapalem
Andhra Pradesh,Visakhapatnam,Munagapaka
Andhra Pradesh,Visakhapatnam,Munchingiputtu
Andhra Pradesh,Visakhapatnam,Nakkapalli
Andhra Pradesh,Visakhapatnam,Narsipatnam
Andhra Pradesh,Visakhapatnam,Nathavaram
Andhra Pradesh,Visakhapatnam,Paderu
Andhra Pradesh,Visakhapatnam,Padmanabham
Andhra Pradesh,Visakhapatnam,Paravada
Andhra Pradesh,Visakhapatnam,Payakaraopeta
Andhra Pradesh,Visakhapatnam,Pedabayalu
Andhra Pradesh,Visakhapatnam,Pedagantyada
Andhra Pradesh,Visakhapatnam,Pendurthi
Andhra Pradesh,Visakhapatnam,Rambilli
Andhra Pradesh,Visakhapatnam,Ravikamatham
Andhra Pradesh,Visakhapatnam,Rolugunta
Andhra Pradesh,Visakhapatnam,S Rayavaram
Andhra Pradesh,Visakhapatnam,Sabbavaram
Andhra Pradesh,Visakhapatnam,Visakhapatnam
Andhra Pradesh,Visakhapatnam,Yelamanchili
Andhra Pradesh,Vizianagaram,Badangi
Andhra Pradesh,Vizianagaram,Balijipeta
Andhra Pradesh,Vizianagaram,Bhoghapuram
Andhra Pradesh,Vizianagaram,Bobbili
Andhra Pradesh,Vizianagaram,Bondapalle
Andhra Pradesh,Vizianagaram,Cheepurupalle
Andhra Pradesh,Vizianagaram,Dattirajeru
Andhra Pradesh,Vizianagaram,Denkada
Andhra Pradesh,Vizianagaram,Gajapathinagaram
Andhra Pradesh,Vizianagaram,Gantyada
Andhra Pradesh,Vizianagaram,Garividi
Andhra Pradesh,Vizianagaram,Garugubilli
Andhra Pradesh,Vizianagaram,Gummalakshmipuram
Andhra Pradesh,Vizianagaram,Gurla
Andhra Pradesh,Vizianagaram,Jami
Andhra Pradesh,Vizianagaram,Jiyyamma Valasa
Andhra Pradesh,Vizianagaram,Komarada
Andhra Pradesh,Vizianagaram,Kothavalasa
Andhra Pradesh,Vizianagaram,Kurupam
Andhra Pradesh,Vizianagaram,Lakkavarapukota
Andhra Pradesh,Vizianagaram,Makkuva
Andhra Pradesh,Vizianagaram,Mentada
Andhra Pradesh,Vizianagaram,Merakamudidam
Andhra Pradesh,Vizianagaram,Nellimarla
Andhra Pradesh,Vizianagaram,Pachipenta
Andhra Pradesh,Vizianagaram,Parvathipuram
Andhra Pradesh,Vizianagaram,Pusapatirega
Andhra Pradesh,Vizianagaram,Ramabhadrapuram
Andhra Pradesh,Vizianagaram,Salur
Andhra Pradesh,Vizianagaram,Seethanagaram
Andhra Pradesh,Vizianagaram,Srungavarapukota
Andhra Pradesh,Vizianagaram,Therlam
Andhra Pradesh,Vizianagaram,Vepada
Andhra Pradesh,Vizianagaram,Vizianagaram
Andhra Pradesh,West Godavari,Achanta
Andhra Pradesh,West Godavari,AKIVIDU
Andhra Pradesh,West Godavari,Attili
Andhra Pradesh,West Godavari,Bheemavaram
Andhra Pradesh,West Godavari,Bhimadole
Andhra Pradesh,West Godavari,Buttayagudem
Andhra Pradesh,West Godavari,Chagallu
Andhra Pradesh,West Godavari,Chintalapudi
Andhra Pradesh,West Godavari,Denduluru
Andhra Pradesh,West Godavari,Devarapalle
Andhra Pradesh,West Godavari,Dwaraka Tirumala
Andhra Pradesh,West Godavari,Eluru
Andhra Pradesh,West Godavari,Ganapavaram
Andhra Pradesh,West Godavari,Gopalapuram
Andhra Pradesh,West Godavari,Iragavaram
Andhra Pradesh,West Godavari,Jangareddigudem
Andhra Pradesh,West Godavari,Jeelugumilli
Andhra Pradesh,West Godavari,Kalla
